P1	Wed Feb 26 13:40:34 2020																								
Replication	Start Time	End Time																							
1	6	66																							
2	72	132																							
3	138	198																							
4	204	264																							
5	270	330																							
6	336	396																							
7	402	462																							
8	468	528																							
9	534	594																							
10	600	660																							
																									
Title	Units	Rep	Min	Max	Mean	Standard Deviation	Sum	Sum of Squares	Count	Lower Limit	Upper Limit	Interval	Int. Min	Int. Max	Int. Mean	Int. Std Dev	Int. Sum	Int. Sum of Squares	Int. Count	Int. Lower Limit	Int. Upper Limit				Intervalo de confianza
RespLondres	CPDLondres	ECHO	10	64000	1	28	28	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	
MsgDublin	Dublin	CPDLondres	10	64000	1	14	15	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	
MsgMadrid	Madrid	CPDLondres	10	64000	1	13	13	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	
																									
Counters for circuit switched calls																									
Call Name	Source	Destination	Replication	Attempts	Blocked	Carried	Disconnected	Preempted	Rerouted	Retries															
CallDublin	Dublin	Madrid	1	1	0	1	0	0	0	0															
CallMadrid	Madrid	Dublin	1	3	0	3	0	0	0	0															
CallDublin	Dublin	Madrid	2	2	0	2	0	0	0	0															
CallMadrid	Madrid	Dublin	2	1	0	1	0	0	0	0															
CallDublin	Dublin	Madrid	3	0	0	0	0	0	0	0															
CallMadrid	Madrid	Dublin	3	4	0	4	0	0	0	0															
CallDublin	Dublin	Madrid	4	1	0	1	0	0	0	0															
CallMadrid	Madrid	Dublin	4	3	0	3	0	0	0	0															
CallDublin	Dublin	Madrid	5	0	0	0	0	0	0	0															
CallMadrid	Madrid	Dublin	5	3	0	3	0	0	0	0															
CallDublin	Dublin	Madrid	6	2	0	2	0	0	0	0															
CallMadrid	Madrid	Dublin	6	4	0	4	0	0	0	0															
CallDublin	Dublin	Madrid	7	1	0	1	0	0	0	0															
CallMadrid	Madrid	Dublin	7	1	0	1	0	0	0	0															
CallDublin	Dublin	Madrid	8	2	0	2	0	0	0	0															
CallMadrid	Madrid	Dublin	8	6	3	3	0	0	0	0															
CallDublin	Dublin	Madrid	9	4	3	1	0	0	0	0															
CallMadrid	Madrid	Dublin	9	1	1	0	0	0	0	0															
CallDublin	Dublin	Madrid	10	0	0	0	0	0	0	0															
CallMadrid	Madrid	Dublin	10	1	0	1	0	0	0	0															
																									
Link counters																									
Link name	Replication	Calls attempted	Calls blocked - failures	Calls blocked - traffic	Calls carried	Calls disconnected	Calls preempted																		
EnlaceDublin	1	4	0	0	4	0	0																		
L<->M	1	0	0	0	0	0	0																		
D<->L	1	0	0	0	0	0	0																		
EnlaceMadrid	1	4	0	0	4	0	0																		
EnlaceLondres	1	0	0	0	0	0	0																		
D<->M	1	4	0	0	4	0	0																		
EnlaceDublin	2	3	0	0	3	0	0																		
L<->M	2	0	0	0	0	0	0																		
D<->L	2	0	0	0	0	0	0																		
EnlaceMadrid	2	3	0	0	3	0	0																		
EnlaceLondres	2	0	0	0	0	0	0																		
D<->M	2	3	0	0	3	0	0																		
EnlaceDublin	3	4	0	0	4	0	0																		
L<->M	3	0	0	0	0	0	0																		
D<->L	3	0	0	0	0	0	0																		
EnlaceMadrid	3	4	0	0	4	0	0																		
EnlaceLondres	3	0	0	0	0	0	0																		
D<->M	3	4	0	0	4	0	0																		
EnlaceDublin	4	4	0	0	4	0	0																		
L<->M	4	0	0	0	0	0	0																		
D<->L	4	0	0	0	0	0	0																		
EnlaceMadrid	4	4	0	0	4	0	0																		
EnlaceLondres	4	0	0	0	0	0	0																		
D<->M	4	4	0	0	4	0	0																		
EnlaceDublin	5	3	0	0	3	0	0																		
L<->M	5	0	0	0	0	0	0																		
D<->L	5	0	0	0	0	0	0																		
EnlaceMadrid	5	3	0	0	3	0	0																		
EnlaceLondres	5	0	0	0	0	0	0																		
D<->M	5	3	0	0	3	0	0																		
EnlaceDublin	6	6	0	0	6	0	0																		
L<->M	6	0	0	0	0	0	0																		
D<->L	6	0	0	0	0	0	0																		
EnlaceMadrid	6	6	0	0	6	0	0																		
EnlaceLondres	6	0	0	0	0	0	0																		
D<->M	6	6	0	0	6	0	0																		
EnlaceDublin	7	2	0	0	2	0	0																		
L<->M	7	0	0	0	0	0	0																		
D<->L	7	0	0	0	0	0	0																		
EnlaceMadrid	7	2	0	0	2	0	0																		
EnlaceLondres	7	0	0	0	0	0	0																		
D<->M	7	2	0	0	2	0	0																		
EnlaceDublin	8	5	0	0	5	0	0																		
L<->M	8	0	0	0	0	0	0																		
D<->L	8	0	0	0	0	0	0																		
EnlaceMadrid	8	8	0	1	7	0	0																		
EnlaceLondres	8	0	0	0	0	0	0																		
D<->M	8	5	0	0	5	0	0																		
EnlaceDublin	9	4	0	3	1	0	0																		
L<->M	9	0	0	0	0	0	0																		
D<->L	9	0	0	0	0	0	0																		
EnlaceMadrid	9	2	0	1	1	0	0																		
EnlaceLondres	9	0	0	0	0	0	0																		
D<->M	9	1	0	0	1	0	0																		
EnlaceDublin	10	1	0	0	1	0	0																		
L<->M	10	0	0	0	0	0	0																		
D<->L	10	0	0	0	0	0	0																		
EnlaceMadrid	10	1	0	0	1	0	0																		
EnlaceLondres	10	0	0	0	0	0	0																		
D<->M	10	1	0	0	1	0	0																		
																									
Node counters																									
Node Name	Replication	Number in group	Calls attempted	Calls blocked: failures	Calls blocked: traffic	Calls carried	Calls disconnected	Calls preempted	Disk accesses	Write: too large	Read: no file	Read: too large													
CPDLondres	1	1	0	0	0	0	0	0	0	0	0	0													
Dublin	1	1	4	0	0	4	0	0	0	0	0	0													
RouterDublin	1	1	4	0	0	4	0	0	0	0	0	0													
RouterLondres	1	1	0	0	0	0	0	0	0	0	0	0													
RouterMadrid	1	1	4	0	0	4	0	0	0	0	0	0													
Madrid	1	1	4	0	0	4	0	0	0	0	0	0													
CPDLondres	2	1	0	0	0	0	0	0	0	0	0	0													
Dublin	2	1	3	0	0	3	0	0	0	0	0	0													
RouterDublin	2	1	3	0	0	3	0	0	0	0	0	0													
RouterLondres	2	1	0	0	0	0	0	0	0	0	0	0													
RouterMadrid	2	1	3	0	0	3	0	0	0	0	0	0													
Madrid	2	1	3	0	0	3	0	0	0	0	0	0													
CPDLondres	3	1	0	0	0	0	0	0	0	0	0	0													
Dublin	3	1	4	0	0	4	0	0	0	0	0	0													
RouterDublin	3	1	4	0	0	4	0	0	0	0	0	0													
RouterLondres	3	1	0	0	0	0	0	0	0	0	0	0													
RouterMadrid	3	1	4	0	0	4	0	0	0	0	0	0													
Madrid	3	1	4	0	0	4	0	0	0	0	0	0													
CPDLondres	4	1	0	0	0	0	0	0	0	0	0	0													
Dublin	4	1	4	0	0	4	0	0	0	0	0	0													
RouterDublin	4	1	4	0	0	4	0	0	0	0	0	0													
RouterLondres	4	1	0	0	0	0	0	0	0	0	0	0													
RouterMadrid	4	1	4	0	0	4	0	0	0	0	0	0													
Madrid	4	1	4	0	0	4	0	0	0	0	0	0													
CPDLondres	5	1	0	0	0	0	0	0	0	0	0	0													
Dublin	5	1	3	0	0	3	0	0	0	0	0	0													
RouterDublin	5	1	3	0	0	3	0	0	0	0	0	0													
RouterLondres	5	1	0	0	0	0	0	0	0	0	0	0													
RouterMadrid	5	1	3	0	0	3	0	0	0	0	0	0													
Madrid	5	1	3	0	0	3	0	0	0	0	0	0													
CPDLondres	6	1	0	0	0	0	0	0	0	0	0	0													
Dublin	6	1	6	0	0	6	0	0	0	0	0	0													
RouterDublin	6	1	6	0	0	6	0	0	0	0	0	0													
RouterLondres	6	1	0	0	0	0	0	0	0	0	0	0													
RouterMadrid	6	1	6	0	0	6	0	0	0	0	0	0													
Madrid	6	1	6	0	0	6	0	0	0	0	0	0													
CPDLondres	7	1	0	0	0	0	0	0	0	0	0	0													
Dublin	7	1	2	0	0	2	0	0	0	0	0	0													
RouterDublin	7	1	2	0	0	2	0	0	0	0	0	0													
RouterLondres	7	1	0	0	0	0	0	0	0	0	0	0													
RouterMadrid	7	1	2	0	0	2	0	0	0	0	0	0													
Madrid	7	1	2	0	0	2	0	0	0	0	0	0													
CPDLondres	8	1	0	0	0	0	0	0	0	0	0	0													
Dublin	8	1	5	0	0	5	0	0	0	0	0	0													
RouterDublin	8	1	5	0	0	5	0	0	0	0	0	0													
RouterLondres	8	1	0	0	0	0	0	0	0	0	0	0													
RouterMadrid	8	1	7	0	0	7	0	0	0	0	0	0													
Madrid	8	1	8	0	0	8	0	0	0	0	0	0													
CPDLondres	9	1	0	0	0	0	0	0	0	0	0	0													
Dublin	9	1	4	0	0	4	0	0	0	0	0	0													
RouterDublin	9	1	1	0	0	1	0	0	0	0	0	0													
RouterLondres	9	1	0	0	0	0	0	0	0	0	0	0													
RouterMadrid	9	1	1	0	0	1	0	0	0	0	0	0													
Madrid	9	1	2	0	0	2	0	0	0	0	0	0													
CPDLondres	10	1	0	0	0	0	0	0	0	0	0	0													
Dublin	10	1	1	0	0	1	0	0	0	0	0	0													
RouterDublin	10	1	1	0	0	1	0	0	0	0	0	0													
RouterLondres	10	1	0	0	0	0	0	0	0	0	0	0													
RouterMadrid	10	1	1	0	0	1	0	0	0	0	0	0													
Madrid	10	1	1	0	0	1	0	0	0	0	0	0													
																									
Other transmission counters																									
Link Name	Transmission	From Node	Replication	Frames resent	Frames lost																				
EnlaceDublinX	X	RouterDublin	1	0	0																				
EnlaceDublinY	Y	Dublin	1	0	0																				
L<->MX	X	RouterMadrid	1	0	0																				
L<->MY	Y	RouterLondres	1	0	0																				
D<->LX	X	RouterDublin	1	0	0																				
D<->LY	Y	RouterLondres	1	0	0																				
EnlaceMadridX	X	Madrid	1	0	0																				
EnlaceMadridY	Y	RouterMadrid	1	0	0																				
EnlaceLondresX	X	RouterLondres	1	0	0																				
EnlaceLondresY	Y	CPDLondres	1	0	0																				
D<->MX	X	RouterDublin	1	0	0																				
D<->MY	Y	RouterMadrid	1	0	0																				
EnlaceDublinX	X	RouterDublin	2	0	0																				
EnlaceDublinY	Y	Dublin	2	0	0																				
L<->MX	X	RouterMadrid	2	0	0																				
L<->MY	Y	RouterLondres	2	0	0																				
D<->LX	X	RouterDublin	2	0	0																				
D<->LY	Y	RouterLondres	2	0	0																				
EnlaceMadridX	X	Madrid	2	0	0																				
EnlaceMadridY	Y	RouterMadrid	2	0	0																				
EnlaceLondresX	X	RouterLondres	2	0	0																				
EnlaceLondresY	Y	CPDLondres	2	0	0																				
D<->MX	X	RouterDublin	2	0	0																				
D<->MY	Y	RouterMadrid	2	0	0																				
EnlaceDublinX	X	RouterDublin	3	0	0																				
EnlaceDublinY	Y	Dublin	3	0	0																				
L<->MX	X	RouterMadrid	3	0	0																				
L<->MY	Y	RouterLondres	3	0	0																				
D<->LX	X	RouterDublin	3	0	0																				
D<->LY	Y	RouterLondres	3	0	0																				
EnlaceMadridX	X	Madrid	3	0	0																				
EnlaceMadridY	Y	RouterMadrid	3	0	0																				
EnlaceLondresX	X	RouterLondres	3	0	0																				
EnlaceLondresY	Y	CPDLondres	3	0	0																				
D<->MX	X	RouterDublin	3	0	0																				
D<->MY	Y	RouterMadrid	3	0	0																				
EnlaceDublinX	X	RouterDublin	4	0	0																				
EnlaceDublinY	Y	Dublin	4	0	0																				
L<->MX	X	RouterMadrid	4	0	0																				
L<->MY	Y	RouterLondres	4	0	0																				
D<->LX	X	RouterDublin	4	0	0																				
D<->LY	Y	RouterLondres	4	0	0																				
EnlaceMadridX	X	Madrid	4	0	0																				
EnlaceMadridY	Y	RouterMadrid	4	0	0																				
EnlaceLondresX	X	RouterLondres	4	0	0																				
EnlaceLondresY	Y	CPDLondres	4	0	0																				
D<->MX	X	RouterDublin	4	0	0																				
D<->MY	Y	RouterMadrid	4	0	0																				
EnlaceDublinX	X	RouterDublin	5	0	0																				
EnlaceDublinY	Y	Dublin	5	0	0																				
L<->MX	X	RouterMadrid	5	0	0																				
L<->MY	Y	RouterLondres	5	0	0																				
D<->LX	X	RouterDublin	5	0	0																				
D<->LY	Y	RouterLondres	5	0	0																				
EnlaceMadridX	X	Madrid	5	0	0																				
EnlaceMadridY	Y	RouterMadrid	5	0	0																				
EnlaceLondresX	X	RouterLondres	5	0	0																				
EnlaceLondresY	Y	CPDLondres	5	0	0																				
D<->MX	X	RouterDublin	5	0	0																				
D<->MY	Y	RouterMadrid	5	0	0																				
EnlaceDublinX	X	RouterDublin	6	0	0																				
EnlaceDublinY	Y	Dublin	6	0	0																				
L<->MX	X	RouterMadrid	6	0	0																				
L<->MY	Y	RouterLondres	6	0	0																				
D<->LX	X	RouterDublin	6	0	0																				
D<->LY	Y	RouterLondres	6	0	0																				
EnlaceMadridX	X	Madrid	6	0	0																				
EnlaceMadridY	Y	RouterMadrid	6	0	0																				
EnlaceLondresX	X	RouterLondres	6	0	0																				
EnlaceLondresY	Y	CPDLondres	6	0	0																				
D<->MX	X	RouterDublin	6	0	0																				
D<->MY	Y	RouterMadrid	6	0	0																				
EnlaceDublinX	X	RouterDublin	7	0	0																				
EnlaceDublinY	Y	Dublin	7	0	0																				
L<->MX	X	RouterMadrid	7	0	0																				
L<->MY	Y	RouterLondres	7	0	0																				
D<->LX	X	RouterDublin	7	0	0																				
D<->LY	Y	RouterLondres	7	0	0																				
EnlaceMadridX	X	Madrid	7	0	0																				
EnlaceMadridY	Y	RouterMadrid	7	0	0																				
EnlaceLondresX	X	RouterLondres	7	0	0																				
EnlaceLondresY	Y	CPDLondres	7	0	0																				
D<->MX	X	RouterDublin	7	0	0																				
D<->MY	Y	RouterMadrid	7	0	0																				
EnlaceDublinX	X	RouterDublin	8	0	0																				
EnlaceDublinY	Y	Dublin	8	0	0																				
L<->MX	X	RouterMadrid	8	0	0																				
L<->MY	Y	RouterLondres	8	0	0																				
D<->LX	X	RouterDublin	8	0	0																				
D<->LY	Y	RouterLondres	8	0	0																				
EnlaceMadridX	X	Madrid	8	0	0																				
EnlaceMadridY	Y	RouterMadrid	8	0	0																				
EnlaceLondresX	X	RouterLondres	8	0	0																				
EnlaceLondresY	Y	CPDLondres	8	0	0																				
D<->MX	X	RouterDublin	8	0	0																				
D<->MY	Y	RouterMadrid	8	0	0																				
EnlaceDublinX	X	RouterDublin	9	0	0																				
EnlaceDublinY	Y	Dublin	9	0	0																				
L<->MX	X	RouterMadrid	9	0	0																				
L<->MY	Y	RouterLondres	9	0	0																				
D<->LX	X	RouterDublin	9	0	0																				
D<->LY	Y	RouterLondres	9	0	0																				
EnlaceMadridX	X	Madrid	9	0	0																				
EnlaceMadridY	Y	RouterMadrid	9	0	0																				
EnlaceLondresX	X	RouterLondres	9	0	0																				
EnlaceLondresY	Y	CPDLondres	9	0	0																				
D<->MX	X	RouterDublin	9	0	0																				
D<->MY	Y	RouterMadrid	9	0	0																				
EnlaceDublinX	X	RouterDublin	10	0	0																				
EnlaceDublinY	Y	Dublin	10	0	0																				
L<->MX	X	RouterMadrid	10	0	0																				
L<->MY	Y	RouterLondres	10	0	0																				
D<->LX	X	RouterDublin	10	0	0																				
D<->LY	Y	RouterLondres	10	0	0																				
EnlaceMadridX	X	Madrid	10	0	0																				
EnlaceMadridY	Y	RouterMadrid	10	0	0																				
EnlaceLondresX	X	RouterLondres	10	0	0																				
EnlaceLondresY	Y	CPDLondres	10	0	0																				
D<->MX	X	RouterDublin	10	0	0																				
D<->MY	Y	RouterMadrid	10	0	0																				
																									
Buffer packet counters																									
Direction	Node	Number in group	Link	Replication	Accepted	Blocked	Preempting	Preempted	Exceed threshold	Rejected by threshold															
Input	CPDLondres	1	EnlaceLondres	1	38	0																			
Output	CPDLondres	1	EnlaceLondres	1	38	0																			
Input	Dublin	1	EnlaceDublin	1	17	0																			
Output	Dublin	1	EnlaceDublin	1	17	0																			
Input	RouterDublin	1	EnlaceDublin	1	17	0																			
Output	RouterDublin	1	EnlaceDublin	1	17	0																			
Input	RouterDublin	1	D<->L	1	17	0																			
Output	RouterDublin	1	D<->L	1	17	0																			
Input	RouterDublin	1	D<->M	1	0	0																			
Output	RouterDublin	1	D<->M	1	0	0																			
Input	RouterLondres	1	L<->M	1	21	0																			
Output	RouterLondres	1	L<->M	1	21	0																			
Input	RouterLondres	1	D<->L	1	17	0																			
Output	RouterLondres	1	D<->L	1	17	0																			
Input	RouterLondres	1	EnlaceLondres	1	38	0																			
Output	RouterLondres	1	EnlaceLondres	1	38	0																			
Input	RouterMadrid	1	EnlaceMadrid	1	21	0																			
Output	RouterMadrid	1	EnlaceMadrid	1	21	0																			
Input	RouterMadrid	1	L<->M	1	21	0																			
Output	RouterMadrid	1	L<->M	1	21	0																			
Input	RouterMadrid	1	D<->M	1	0	0																			
Output	RouterMadrid	1	D<->M	1	0	0																			
Input	Madrid	1	EnlaceMadrid	1	21	0																			
Output	Madrid	1	EnlaceMadrid	1	21	0																			
Input	CPDLondres	1	EnlaceLondres	2	26	0																			
Output	CPDLondres	1	EnlaceLondres	2	26	0																			
Input	Dublin	1	EnlaceDublin	2	17	0																			
Output	Dublin	1	EnlaceDublin	2	17	0																			
Input	RouterDublin	1	EnlaceDublin	2	17	0																			
Output	RouterDublin	1	EnlaceDublin	2	17	0																			
Input	RouterDublin	1	D<->L	2	17	0																			
Output	RouterDublin	1	D<->L	2	17	0																			
Input	RouterDublin	1	D<->M	2	0	0																			
Output	RouterDublin	1	D<->M	2	0	0																			
Input	RouterLondres	1	L<->M	2	9	0																			
Output	RouterLondres	1	L<->M	2	9	0																			
Input	RouterLondres	1	D<->L	2	17	0																			
Output	RouterLondres	1	D<->L	2	17	0																			
Input	RouterLondres	1	EnlaceLondres	2	26	0																			
Output	RouterLondres	1	EnlaceLondres	2	26	0																			
Input	RouterMadrid	1	EnlaceMadrid	2	9	0																			
Output	RouterMadrid	1	EnlaceMadrid	2	9	0																			
Input	RouterMadrid	1	L<->M	2	9	0																			
Output	RouterMadrid	1	L<->M	2	9	0																			
Input	RouterMadrid	1	D<->M	2	0	0																			
Output	RouterMadrid	1	D<->M	2	0	0																			
Input	Madrid	1	EnlaceMadrid	2	9	0																			
Output	Madrid	1	EnlaceMadrid	2	9	0																			
Input	CPDLondres	1	EnlaceLondres	3	27	0																			
Output	CPDLondres	1	EnlaceLondres	3	27	0																			
Input	Dublin	1	EnlaceDublin	3	11	0																			
Output	Dublin	1	EnlaceDublin	3	11	0																			
Input	RouterDublin	1	EnlaceDublin	3	11	0																			
Output	RouterDublin	1	EnlaceDublin	3	11	0																			
Input	RouterDublin	1	D<->L	3	11	0																			
Output	RouterDublin	1	D<->L	3	11	0																			
Input	RouterDublin	1	D<->M	3	0	0																			
Output	RouterDublin	1	D<->M	3	0	0																			
Input	RouterLondres	1	L<->M	3	16	0																			
Output	RouterLondres	1	L<->M	3	16	0																			
Input	RouterLondres	1	D<->L	3	11	0																			
Output	RouterLondres	1	D<->L	3	11	0																			
Input	RouterLondres	1	EnlaceLondres	3	27	0																			
Output	RouterLondres	1	EnlaceLondres	3	27	0																			
Input	RouterMadrid	1	EnlaceMadrid	3	16	0																			
Output	RouterMadrid	1	EnlaceMadrid	3	16	0																			
Input	RouterMadrid	1	L<->M	3	16	0																			
Output	RouterMadrid	1	L<->M	3	16	0																			
Input	RouterMadrid	1	D<->M	3	0	0																			
Output	RouterMadrid	1	D<->M	3	0	0																			
Input	Madrid	1	EnlaceMadrid	3	16	0																			
Output	Madrid	1	EnlaceMadrid	3	16	0																			
Input	CPDLondres	1	EnlaceLondres	4	31	0																			
Output	CPDLondres	1	EnlaceLondres	4	31	0																			
Input	Dublin	1	EnlaceDublin	4	11	0																			
Output	Dublin	1	EnlaceDublin	4	11	0																			
Input	RouterDublin	1	EnlaceDublin	4	11	0																			
Output	RouterDublin	1	EnlaceDublin	4	11	0																			
Input	RouterDublin	1	D<->L	4	11	0																			
Output	RouterDublin	1	D<->L	4	11	0																			
Input	RouterDublin	1	D<->M	4	0	0																			
Output	RouterDublin	1	D<->M	4	0	0																			
Input	RouterLondres	1	L<->M	4	20	0																			
Output	RouterLondres	1	L<->M	4	20	0																			
Input	RouterLondres	1	D<->L	4	11	0																			
Output	RouterLondres	1	D<->L	4	11	0																			
Input	RouterLondres	1	EnlaceLondres	4	31	0																			
Output	RouterLondres	1	EnlaceLondres	4	31	0																			
Input	RouterMadrid	1	EnlaceMadrid	4	20	0																			
Output	RouterMadrid	1	EnlaceMadrid	4	20	0																			
Input	RouterMadrid	1	L<->M	4	20	0																			
Output	RouterMadrid	1	L<->M	4	20	0																			
Input	RouterMadrid	1	D<->M	4	0	0																			
Output	RouterMadrid	1	D<->M	4	0	0																			
Input	Madrid	1	EnlaceMadrid	4	21	0																			
Output	Madrid	1	EnlaceMadrid	4	20	0																			
Input	CPDLondres	1	EnlaceLondres	5	31	0																			
Output	CPDLondres	1	EnlaceLondres	5	31	0																			
Input	Dublin	1	EnlaceDublin	5	16	0																			
Output	Dublin	1	EnlaceDublin	5	17	0																			
Input	RouterDublin	1	EnlaceDublin	5	17	0																			
Output	RouterDublin	1	EnlaceDublin	5	16	0																			
Input	RouterDublin	1	D<->L	5	16	0																			
Output	RouterDublin	1	D<->L	5	17	0																			
Input	RouterDublin	1	D<->M	5	0	0																			
Output	RouterDublin	1	D<->M	5	0	0																			
Input	RouterLondres	1	L<->M	5	14	0																			
Output	RouterLondres	1	L<->M	5	15	0																			
Input	RouterLondres	1	D<->L	5	17	0																			
Output	RouterLondres	1	D<->L	5	16	0																			
Input	RouterLondres	1	EnlaceLondres	5	31	0																			
Output	RouterLondres	1	EnlaceLondres	5	31	0																			
Input	RouterMadrid	1	EnlaceMadrid	5	14	0																			
Output	RouterMadrid	1	EnlaceMadrid	5	15	0																			
Input	RouterMadrid	1	L<->M	5	15	0																			
Output	RouterMadrid	1	L<->M	5	14	0																			
Input	RouterMadrid	1	D<->M	5	0	0																			
Output	RouterMadrid	1	D<->M	5	0	0																			
Input	Madrid	1	EnlaceMadrid	5	15	0																			
Output	Madrid	1	EnlaceMadrid	5	14	0																			
Input	CPDLondres	1	EnlaceLondres	6	27	0																			
Output	CPDLondres	1	EnlaceLondres	6	27	0																			
Input	Dublin	1	EnlaceDublin	6	12	0																			
Output	Dublin	1	EnlaceDublin	6	12	0																			
Input	RouterDublin	1	EnlaceDublin	6	12	0																			
Output	RouterDublin	1	EnlaceDublin	6	12	0																			
Input	RouterDublin	1	D<->L	6	12	0																			
Output	RouterDublin	1	D<->L	6	12	0																			
Input	RouterDublin	1	D<->M	6	0	0																			
Output	RouterDublin	1	D<->M	6	0	0																			
Input	RouterLondres	1	L<->M	6	15	0																			
Output	RouterLondres	1	L<->M	6	15	0																			
Input	RouterLondres	1	D<->L	6	12	0																			
Output	RouterLondres	1	D<->L	6	12	0																			
Input	RouterLondres	1	EnlaceLondres	6	27	0																			
Output	RouterLondres	1	EnlaceLondres	6	27	0																			
Input	RouterMadrid	1	EnlaceMadrid	6	15	0																			
Output	RouterMadrid	1	EnlaceMadrid	6	15	0																			
Input	RouterMadrid	1	L<->M	6	15	0																			
Output	RouterMadrid	1	L<->M	6	15	0																			
Input	RouterMadrid	1	D<->M	6	0	0																			
Output	RouterMadrid	1	D<->M	6	0	0																			
Input	Madrid	1	EnlaceMadrid	6	15	0																			
Output	Madrid	1	EnlaceMadrid	6	15	0																			
Input	CPDLondres	1	EnlaceLondres	7	19	0																			
Output	CPDLondres	1	EnlaceLondres	7	19	0																			
Input	Dublin	1	EnlaceDublin	7	15	0																			
Output	Dublin	1	EnlaceDublin	7	15	0																			
Input	RouterDublin	1	EnlaceDublin	7	15	0																			
Output	RouterDublin	1	EnlaceDublin	7	15	0																			
Input	RouterDublin	1	D<->L	7	15	0																			
Output	RouterDublin	1	D<->L	7	15	0																			
Input	RouterDublin	1	D<->M	7	0	0																			
Output	RouterDublin	1	D<->M	7	0	0																			
Input	RouterLondres	1	L<->M	7	4	0																			
Output	RouterLondres	1	L<->M	7	4	0																			
Input	RouterLondres	1	D<->L	7	15	0																			
Output	RouterLondres	1	D<->L	7	15	0																			
Input	RouterLondres	1	EnlaceLondres	7	19	0																			
Output	RouterLondres	1	EnlaceLondres	7	19	0																			
Input	RouterMadrid	1	EnlaceMadrid	7	4	0																			
Output	RouterMadrid	1	EnlaceMadrid	7	4	0																			
Input	RouterMadrid	1	L<->M	7	4	0																			
Output	RouterMadrid	1	L<->M	7	4	0																			
Input	RouterMadrid	1	D<->M	7	0	0																			
Output	RouterMadrid	1	D<->M	7	0	0																			
Input	Madrid	1	EnlaceMadrid	7	4	0																			
Output	Madrid	1	EnlaceMadrid	7	4	0																			
Input	CPDLondres	1	EnlaceLondres	8	19	0																			
Output	CPDLondres	1	EnlaceLondres	8	19	0																			
Input	Dublin	1	EnlaceDublin	8	9	0																			
Output	Dublin	1	EnlaceDublin	8	9	0																			
Input	RouterDublin	1	EnlaceDublin	8	9	0																			
Output	RouterDublin	1	EnlaceDublin	8	9	0																			
Input	RouterDublin	1	D<->L	8	9	0																			
Output	RouterDublin	1	D<->L	8	9	0																			
Input	RouterDublin	1	D<->M	8	0	0																			
Output	RouterDublin	1	D<->M	8	0	0																			
Input	RouterLondres	1	L<->M	8	10	0																			
Output	RouterLondres	1	L<->M	8	10	0																			
Input	RouterLondres	1	D<->L	8	9	0																			
Output	RouterLondres	1	D<->L	8	9	0																			
Input	RouterLondres	1	EnlaceLondres	8	19	0																			
Output	RouterLondres	1	EnlaceLondres	8	19	0																			
Input	RouterMadrid	1	EnlaceMadrid	8	10	0																			
Output	RouterMadrid	1	EnlaceMadrid	8	10	0																			
Input	RouterMadrid	1	L<->M	8	10	0																			
Output	RouterMadrid	1	L<->M	8	10	0																			
Input	RouterMadrid	1	D<->M	8	0	0																			
Output	RouterMadrid	1	D<->M	8	0	0																			
Input	Madrid	1	EnlaceMadrid	8	10	0																			
Output	Madrid	1	EnlaceMadrid	8	10	0																			
Input	CPDLondres	1	EnlaceLondres	9	17	0																			
Output	CPDLondres	1	EnlaceLondres	9	17	0																			
Input	Dublin	1	EnlaceDublin	9	10	0																			
Output	Dublin	1	EnlaceDublin	9	10	0																			
Input	RouterDublin	1	EnlaceDublin	9	10	0																			
Output	RouterDublin	1	EnlaceDublin	9	10	0																			
Input	RouterDublin	1	D<->L	9	10	0																			
Output	RouterDublin	1	D<->L	9	10	0																			
Input	RouterDublin	1	D<->M	9	0	0																			
Output	RouterDublin	1	D<->M	9	0	0																			
Input	RouterLondres	1	L<->M	9	7	0																			
Output	RouterLondres	1	L<->M	9	7	0																			
Input	RouterLondres	1	D<->L	9	10	0																			
Output	RouterLondres	1	D<->L	9	10	0																			
Input	RouterLondres	1	EnlaceLondres	9	17	0																			
Output	RouterLondres	1	EnlaceLondres	9	17	0																			
Input	RouterMadrid	1	EnlaceMadrid	9	7	0																			
Output	RouterMadrid	1	EnlaceMadrid	9	7	0																			
Input	RouterMadrid	1	L<->M	9	7	0																			
Output	RouterMadrid	1	L<->M	9	7	0																			
Input	RouterMadrid	1	D<->M	9	0	0																			
Output	RouterMadrid	1	D<->M	9	0	0																			
Input	Madrid	1	EnlaceMadrid	9	7	0																			
Output	Madrid	1	EnlaceMadrid	9	7	0																			
Input	CPDLondres	1	EnlaceLondres	10	28	0																			
Output	CPDLondres	1	EnlaceLondres	10	28	0																			
Input	Dublin	1	EnlaceDublin	10	15	0																			
Output	Dublin	1	EnlaceDublin	10	14	0																			
Input	RouterDublin	1	EnlaceDublin	10	14	0																			
Output	RouterDublin	1	EnlaceDublin	10	15	0																			
Input	RouterDublin	1	D<->L	10	15	0																			
Output	RouterDublin	1	D<->L	10	14	0																			
Input	RouterDublin	1	D<->M	10	0	0																			
Output	RouterDublin	1	D<->M	10	0	0																			
Input	RouterLondres	1	L<->M	10	13	0																			
Output	RouterLondres	1	L<->M	10	13	0																			
