P1	Wed Feb 26 13:40:34 2020																								
Replication	Start Time	End Time																							
1	6	66																							
2	72	132																							
3	138	198																							
4	204	264																							
5	270	330																							
6	336	396																							
7	402	462																							
8	468	528																							
9	534	594																							
10	600	660																							
																									
Title	Units	Rep	Min	Max	Mean	Standard Deviation	Sum	Sum of Squares	Count	Lower Limit	Upper Limit	Interval	Int. Min	Int. Max	Int. Mean	Int. Std Dev	Int. Sum	Int. Sum of Squares	Int. Count	Int. Lower Limit	Int. Upper Limit				Intervalo de confianza
L<->M Channel Utilization from RouterMadrid	busy X channels	4	0	1	0.030895833	0.17303549	1.85375	1.85375	41																
L<->M Channel Utilization from RouterMadrid	busy X channels	5	0	1	0.018608333	0.135137202	1.1165	1.1165	29																
L<->M Channel Utilization from RouterMadrid	busy X channels	6	0	1	0.019163542	0.1370996	1.1498125	1.1498125	32																
L<->M Channel Utilization from RouterMadrid	busy X channels	7	0	1	0.004217708	0.064806784	0.2530625	0.2530625	9																
L<->M Channel Utilization from RouterMadrid	busy X channels	8	0	1	0.007904167	0.088553322	0.47425	0.47425	21																
L<->M Channel Utilization from RouterMadrid	busy X channels	9	0	1	0.006588542	0.080901995	0.3953125	0.3953125	15																
L<->M Channel Utilization from RouterMadrid	busy X channels	10	0	1	0.010538542	0.102115037	0.6323125	0.6323125	27																
L<->M Channel Utilization from RouterMadrid	busy X channels	0	0.004217708	0.030895833	0.014461771	0.008372713	0.144617708	0.002722349	10	0.009608275	0.019315266														
L<->M Channel Utilization from RouterMadrid	busy X channels	-1	0	1	0.014461771	0.119384371	8.6770625	8.6770625	269																
L<->M Channel Utilization from RouterLondres	busy Y channels	1	0	1	0.004375	0.065998935	0.2625	0.2625	44																
L<->M Channel Utilization from RouterLondres	busy Y channels	2	0	1	0.001875	0.043260656	0.1125	0.1125	19																
L<->M Channel Utilization from RouterLondres	busy Y channels	3	0	1	0.003333333	0.057638722	0.2	0.2	33																
L<->M Channel Utilization from RouterLondres	busy Y channels	4	0	1	0.004166667	0.064415103	0.25	0.25	41																
L<->M Channel Utilization from RouterLondres	busy Y channels	5	0	1	0.003125	0.055814285	0.1875	0.1875	31																
L<->M Channel Utilization from RouterLondres	busy Y channels	6	0	1	0.003125	0.055814285	0.1875	0.1875	31																
L<->M Channel Utilization from RouterLondres	busy Y channels	7	0	1	0.000833333	0.028855483	0.05	0.05	9																
L<->M Channel Utilization from RouterLondres	busy Y channels	8	0	1	0.002083333	0.045595976	0.125	0.125	21																
L<->M Channel Utilization from RouterLondres	busy Y channels	9	0	1	0.001458333	0.038160275	0.0875	0.0875	15																
L<->M Channel Utilization from RouterLondres	busy Y channels	10	0	1	0.002708333	0.051971129	0.1625	0.1625	27																
L<->M Channel Utilization from RouterLondres	busy Y channels	0	0.000833333	0.004375	0.002708333	0.001145307	0.027083333	8.52E-05	10	0.002044421	0.003372245														
L<->M Channel Utilization from RouterLondres	busy Y channels	-1	0	1	0.002708333	0.051971129	1.625	1.625	271																
L<->M Frame X Delay from RouterMadrid	seconds	1	0.000125	0.1825625	0.065747024	0.053982569	1.3806875	0.151972566	21																
L<->M Frame X Delay from RouterMadrid	seconds	2	0.0044375	0.191125	0.064493056	0.061587058	0.5804375	0.071570879	9																
L<->M Frame X Delay from RouterMadrid	seconds	3	0.00275	0.1361875	0.052558594	0.039432414	0.8409375	0.069077137	16																
L<->M Frame X Delay from RouterMadrid	seconds	4	0.0001875	0.3886875	0.0926875	0.087603842	1.85375	0.325308117	20																
L<->M Frame X Delay from RouterMadrid	seconds	5	0.001	0.2420625	0.07975	0.070618817	1.1165	0.158859117	14																
L<->M Frame X Delay from RouterMadrid	seconds	6	0.0025625	0.3308125	0.076654167	0.086736646	1.1498125	0.200986605	15																
L<->M Frame X Delay from RouterMadrid	seconds	7	0.0010625	0.1481875	0.063265625	0.057419736	0.2530625	0.029198262	4																
L<->M Frame X Delay from RouterMadrid	seconds	8	0.0165	0.0985625	0.047425	0.024917313	0.47425	0.028700031	10																
L<->M Frame X Delay from RouterMadrid	seconds	9	0.0034375	0.1388125	0.056473214	0.040789144	0.3953125	0.033970848	7																
L<->M Frame X Delay from RouterMadrid	seconds	10	0.002875	0.160875	0.048639423	0.048432826	0.6323125	0.061249918	13																
L<->M Frame X Delay from RouterMadrid	seconds	0	0.047425	0.0926875	0.06476936	0.014633731	0.647693602	0.043878015	10	0.056286476	0.073252244														
L<->M Frame X Delay from RouterMadrid	seconds	-1	0.000125	0.3886875	0.06726405	0.065131894	8.6770625	1.13089348	129																
L<->M Frame Y Delay from RouterLondres	seconds	1	0.0125	0.0125	0.0125	2.85E-10	0.2625	0.00328125	21																
L<->M Frame Y Delay from RouterLondres	seconds	2	0.0125	0.0125	0.0125	0	0.1125	0.00140625	9																
